  PID  PPID NAME                       
    1     0 init
    2     0 [kthreadd]
    3     2 [rcu_gp]
    4     2 [kworker/0:0-mm_percpu_wq]
    5     2 [kworker/0:0H-kblockd]
    6     2 [kworker/u16:0-adb]
    7     2 [mm_percpu_wq]
    8     2 [kworker/u16:1-acpm_update_log]
    9     2 [rcu_tasks_kthre]
   10     2 [rcu_tasks_trace]
   11     2 [ksoftirqd/0]
   12     2 [rcu_preempt]
   13     2 [rcub/0]
   14     2 [rcuc/0]
   15     2 [rcu_exp_gp_kthr]
   16     2 [rcu_exp_par_gp_]
   17     2 [migration/0]
   18     2 [cpuhp/0]
   19     2 [cpuhp/1]
   20     2 [migration/1]
   21     2 [rcuc/1]
   22     2 [ksoftirqd/1]
   23     2 [kworker/1:0-events]
   24     2 [kworker/1:0H-kblockd]
   25     2 [cpuhp/2]
   26     2 [migration/2]
   27     2 [rcuc/2]
   28     2 [ksoftirqd/2]
   29     2 [kworker/2:0-pm]
   30     2 [kworker/2:0H-kblockd]
   31     2 [cpuhp/3]
   32     2 [migration/3]
   33     2 [rcuc/3]
   34     2 [ksoftirqd/3]
   35     2 [kworker/3:0-events]
   36     2 [kworker/3:0H-kblockd]
   37     2 [cpuhp/4]
   38     2 [migration/4]
   39     2 [rcuc/4]
   40     2 [ksoftirqd/4]
   41     2 [kworker/4:0-pm]
   42     2 [kworker/4:0H-kblockd]
   43     2 [cpuhp/5]
   44     2 [migration/5]
   45     2 [rcuc/5]
   46     2 [ksoftirqd/5]
   47     2 [kworker/5:0-device_link_wq]
   48     2 [kworker/5:0H-kblockd]
   49     2 [cpuhp/6]
   50     2 [migration/6]
   51     2 [rcuc/6]
   52     2 [ksoftirqd/6]
   53     2 [kworker/6:0-rcu_gp]
   54     2 [kworker/6:0H-kblockd]
   55     2 [cpuhp/7]
   56     2 [migration/7]
   57     2 [rcuc/7]
   58     2 [ksoftirqd/7]
   59     2 [kworker/7:0+events]
   60     2 [kworker/7:0H-events_highpri]
   61     2 [netns]
   62     2 [kworker/7:1+events]
   63     2 [kworker/0:1-events]
   64     2 [kworker/1:1-events]
   65     2 [kworker/4:1-mm_percpu_wq]
   66     2 [kworker/5:1-device_link_wq]
   67     2 [kworker/6:1-events]
   68     2 [kworker/3:1-mm_percpu_wq]
   69     2 [kworker/2:1-mm_percpu_wq]
   70     2 [kauditd]
   71     2 [khungtaskd]
   72     2 [oom_reaper]
   73     2 [writeback]
   74     2 [kcompactd0]
  119     2 [kblockd]
  120     2 [blkcg_punt_bio]
  121     2 [edac-poller]
  122     2 [devfreq_wq]
  123     2 [watchdogd]
  124     2 [kworker/7:1H-events_highpri]
  147     2 [kswapd0]
  148     2 [cifsiod]
  149     2 [smb3decryptd]
  150     2 [cifsfileinfoput]
  151     2 [cifsoplockd]
  152     2 [kworker/u17:0-ufs_clk_gating_0]
  153     2 [erofs_worker/0]
  154     2 [erofs_worker/1]
  155     2 [erofs_worker/2]
  156     2 [erofs_worker/3]
  157     2 [erofs_worker/4]
  158     2 [erofs_worker/5]
  159     2 [erofs_worker/6]
  160     2 [erofs_worker/7]
  162     2 [dmabuf-deferred]
  163     2 [uas]
  164     2 [uether]
  165     2 [dm_bufio_cache]
  166     2 [ipv6_addrconf]
  167     2 [krfcommd]
  168     2 [kworker/u16:2-pca9481_dc_wq]
  169     2 [acpm_update_log]
  170     2 [irq/182-1590000]
  171     2 [irq/272-s2mpu]
  172     2 [irq/273-s2mpu]
  173     2 [irq/274-s2mpu]
  174     2 [irq/275-s2mpu]
  175     2 [irq/276-s2mpu]
  176     2 [irq/277-s2mpu]
  177     2 [irq/278-s2mpu]
  178     2 [irq/279-s2mpu]
  179     2 [irq/280-s2mpu]
  180     2 [irq/281-s2mpu]
  181     2 [irq/282-s2mpu]
  182     2 [irq/283-s2mpu]
  183     2 [irq/284-s2mpu]
  184     2 [irq/285-s2mpu]
  185     2 [irq/286-s2mpu]
  186     2 [irq/287-s2mpu]
  187     2 [irq/288-s2mpu]
  188     2 [irq/289-s2mpu]
  189     2 [irq/290-s2mpu]
  190     2 [irq/291-s2mpu]
  191     2 [irq/292-s2mpu]
  192     2 [irq/293-s2mpu]
  193     2 [irq/294-s2mpu]
  194     2 [irq/295-s2mpu]
  195     2 [irq/296-s2mpu]
  196     2 [irq/297-s2mpu]
  197     2 [irq/298-s2mpu]
  198     2 [irq/299-s2mpu]
  199     2 [irq/300-s2mpu]
  200     2 [irq/301-s2mpu]
  201     2 [irq/302-s2mpu]
  202     2 [irq/303-s2mpu]
  203     2 [irq/304-s2mpu]
  204     2 [irq/305-s2mpu]
  205     2 [irq/306-s2mpu]
  206     2 [irq/307-s2mpu]
  207     2 [irq/308-s2mpu]
  208     2 [irq/309-s2mpu]
  209     2 [irq/310-s2mpu]
  210     2 [irq/312-exynos-]
  211     2 [irq/262-158d000]
  216     2 [kworker/7:2-events]
  217     2 [qrtr_ns]
  218     2 [sec_abc_wq]
  219     2 [typec_manager_e]
  220     2 [typec_manager_m]
  221     2 [sec_audio_dbg_s]
  222     2 [irq/249-1128000]
  223     2 [irq/413-1531000]
  224     2 [irq/414-1531000]
  225     2 [irq/415-1531000]
  226     2 [irq/416-1531000]
  227     2 [irq/417-1531000]
  228     2 [irq/418-1531000]
  229     2 [irq/419-1531000]
  230     2 [irq/420-1531000]
  231     2 [irq/421-1531000]
  232     2 [irq/422-1531000]
  233     2 [fast_switch_pos]
  234     2 [fast_switch_pos]
  235     2 [fast_switch_pos]
  236     2 [thermal_BIG]
  237     2 [thermal_hotplug]
  238     2 [thermal_MID]
  239     2 [thermal_LITTLE]
  240     2 [thermal_G3D]
  241     2 [thermal_ISP]
  242     2 [thermal_NPU]
  243     2 [thermal_CP]
  244     2 [ttm_swap]
  245     2 [gfx_0.0.0]
  246     2 [gfx_0.0.1]
  247     2 [gfx_0.0.2]
  248     2 [gfx_0.0.3]
  249     2 [comp_1.0.0]
  250     2 [comp_1.0.1]
  251     2 [comp_1.0.2]
  252     2 [simpleinteracti]
  253     2 [simpleinteracti]
  254     2 [simpleinteracti]
  255     2 [simpleinteracti]
  256     2 [simpleinteracti]
  257     2 [simpleinteracti]
  258     2 [simpleinteracti]
  259     2 [simpleinteracti]
  260     2 [simpleinteracti]
  261     2 [simpleinteracti]
  262     2 [simpleinteracti]
  263     2 [simpleinteracti]
  264     2 [simpleinteracti]
  265     2 [simpleinteracti]
  266     2 [simpleinteracti]
  267     2 [simpleinteracti]
  268     2 [simpleinteracti]
  269     2 [fast_switch:0]
  270     2 [kworker/7:3+events]
  271     2 [fast_switch:4]
  272     2 [fast_switch:7]
  273     2 [cpif_tpmon_moni]
  274     2 [cpif_tpmon_boos]
  275     2 [shmem_tx_wq]
  276     2 [irq/315-tzasc]
  277     2 [irq/316-tzasc]
  278     2 [irq/317-tzasc]
  279     2 [irq/318-tzasc]
  280     2 [irq/319-ppmpu]
  281     2 [irq/320-ppmpu]
  282     2 [irq/321-ppmpu]
  283     2 [irq/322-ppmpu]
  284     2 [hwrng]
  285     2 [irq/25-18d50000]
  286     2 [irq/26-18d50000]
  287     2 [irq/27-17430000]
  288     2 [irq/28-17430000]
  289     2 [abox_ipc]
  290     2 [irq/29-17530000]
  291     2 [irq/30-17530000]
  292     2 [irq/31-17570000]
  293     2 [irq/32-17570000]
  294     2 [irq/33-17170000]
  295     2 [irq/34-17170000]
  296     2 [irq/35-171a0000]
  297     2 [irq/36-171a0000]
  298     2 [abox_qos]
  299     2 [kworker/1:2]
  300     2 [irq/37-171d0000]
  301     2 [irq/38-171d0000]
  302     2 [irq/39-18540000]
  303     2 [irq/40-18540000]
  304     2 [irq/41-16040000]
  305     2 [irq/42-16040000]
  306     2 [irq/43-16070000]
  307     2 [irq/44-16070000]
  308     2 [irq/45-160a0000]
  309     2 [kworker/3:2-events]
  310     2 [irq/46-160a0000]
  311     2 [irq/47-160d0000]
  312     2 [irq/48-160d0000]
  313     2 [irq/49-16100000]
  314     2 [irq/50-16100000]
  315     2 [irq/51-1ac40000]
  316     2 [irq/52-1ac40000]
  317     2 [irq/53-1ac50000]
  318     2 [irq/54-1ac50000]
  319     2 [kworker/3:3-events]
  320     2 [irq/55-1ae40000]
  321     2 [irq/56-1ae40000]
  322     2 [irq/57-1ae50000]
  323     2 [irq/58-1ae50000]
  324     2 [irq/59-176a0000]
  325     2 [irq/60-176a0000]
  326     2 [irq/61-18a00000]
  327     2 [irq/62-18a00000]
  328     2 [irq/63-15c70000]
  329     2 [irq/64-15c70000]
  330     2 [irq/65-15ca0000]
  331     2 [irq/66-15ca0000]
  332     2 [irq/67-15cd0000]
  333     2 [irq/68-15cd0000]
  334     2 [irq/69-15d00000]
  335     2 [kworker/6:2-events]
  336     2 [irq/70-15d00000]
  337     2 [irq/71-15d30000]
  338     2 [irq/72-15d30000]
  339     2 [irq/73-18670000]
  340     2 [irq/74-18670000]
  341     2 [irq/75-186a0000]
  342     2 [irq/76-186a0000]
  343     2 [irq/77-18870000]
  344     2 [irq/78-18870000]
  345     2 [irq/79-188a0000]
  346     2 [irq/80-188a0000]
  347     2 [irq/81-18070000]
  348     2 [irq/82-18070000]
  349     2 [irq/83-180a0000]
  350     2 [irq/84-180a0000]
  351     2 [panel0:disp-det]
  352     2 [kworker/5:2-rcu_gp]
  353     2 [kworker/5:3-events]
  354     2 [kworker/5:4-pm]
  355     2 [panel0:pcd]
  356     2 [panel0:err-fg]
  357     2 [kworker/5:5-device_link_wq]
  358     2 [kworker/5:6-rcu_gp]
  359     2 [panel0:conn-det]
  360     2 [kworker/5:7]
  361     2 [panel0:panel-co]
  362     2 [panel0:panel-up]
  363     2 [panel0:evasion-]
  364     2 [panel-bl-thread]
  365     2 [rbin]
  366     2 [rbin_shrink]
  367     2 [10a80000.drmdp]
  368     2 [10a80000.drmdp]
  369     2 [crtc0_kthread]
  370     2 [exynos_hibernat]
  371     2 [crtc1_kthread]
  372     2 [crtc2_kthread]
  373     2 [crtc3_kthread]
  374     2 [card1-crtc0]
  375     2 [card1-crtc1]
  376     2 [card1-crtc2]
  377     2 [card1-crtc3]
  378     2 [wq_vsync]
  379     2 [wq_fsync]
  380     2 [wq_dispon]
  381     2 [wq_panel_probe]
  382     2 [tz_worker_threa]
  383     2 [tz_worker_threa]
  384     2 [tz_worker_threa]
  385     2 [tz_worker_threa]
  386     2 [tz_worker_threa]
  387     2 [tz_worker_threa]
  388     2 [tz_worker_threa]
  389     2 [tz_worker_threa]
  390     2 [ree_time]
  391     2 [tz_iwlog_thread]
  392     2 [tz_iwsock]
  393     2 [connecting_thre]
  394     2 [spi1]
  395     2 [spi2]
  396     2 [usb_notify]
  397     2 [s2mps25-wqueue@]
  398     2 [irq/427-s2mps25]
  399     2 [s2mps25-keys-wq]
  400     2 [s2mps25-keys-wq]
  401     2 [s2mps26-wqueue@]
  402     2 [scsi_eh_0]
  403     2 [scsi_tmf_0]
  404     2 [ufs_perf_0]
  405     2 [ufs_eh_wq_0]
  406     2 [ufs_clk_gating_]
  407     2 [kworker/u16:3-events_unbound]
  408     2 [SEC_WB_wq]
  409     2 [kworker/u16:4-events_unbound]
  410     2 [kworker/0:1H-kblockd]
  411     2 [kworker/u16:5-adb]
  412     2 [kworker/6:1H-kblockd]
  413     2 [kworker/u16:6]
  414     2 [kworker/4:1H-kblockd]
  415     2 [kworker/3:1H-kblockd]
  416     2 [kworker/1:1H-kblockd]
  417     2 [kworker/2:1H-kblockd]
  418     2 [kworker/5:1H-kblockd]
  419     2 [srpmb_wq]
  420     2 [kworker/u17:1]
  421     2 [irq/498-aerdrv]
  422     2 [pcie_wq]
  423     2 [mfc/inst_migrat]
  424     2 [mfc/butler]
  425     2 [irq/499-186d000]
  426     2 [mfc_core/meerka]
  427     2 [mfc_core/idle]
  428     2 [mfc_core/butler]
  429     2 [mfc_core/qos_ct]
  430     2 [irq/500-188d000]
  431     2 [mfc_core/meerka]
  432     2 [mfc_core/idle]
  433     2 [mfc_core/butler]
  434     2 [mfc_core/qos_ct]
  435     2 [jsqz]
  436     2 [mcfrc]
  437     2 [chub_log_kthrea]
  438     2 [irq/391-14cc000]
  439     2 [ssp_mcu_ready_w]
  440     2 [ssp_debug_wq]
  441     2 [ssp_batch_wq]
  442     2 [npu_exynos]
  443     2 [samsung_mobile_]
  444     2 [irq/520-cisd-ov]
  445     2 [fw_update]
  446     2 [irq/563-max7770]
  447     2 [op_wait]
  448     2 [kworker/4:2-events]
  449     2 [op_send]
  450     2 [ccic_irq_event]
  451     2 [usb_int_qos_wq]
  452     2 [usb_tpmon_wq]
  453     2 [thermal_amb]
  454     2 [max77705_pd]
  455     2 [max77705-charge]
  456     2 [bootc_wq]
  457     2 [irq/564-als_rea]
  458     2 [tsl2510_wq]
  459     2 [irq/566-certify]
  460     2 [irq/565-hall]
  461     2 [pca9481_dc_wq]
  462     2 [compose-effects]
  463     2 [vib_workqueue]
  464     2 [mst_cluster_fre]
  465     2 [sec_input_irq_w]
  466     2 [irq/568-stm_ts]
  467     2 [irq/569-ISG6320]
  468     2 [irq/570-jig-irq]
  469     2 [pass-through]
  470     2 [mfc_workqueue]
  471     2 [irq/572-wpc-det]
  472     2 [cirrus_pwr_wq]
  473     2 [irq/574-cs35l41]
  474     2 [irq/574-cs35l41]
  476     2 [kworker/7:4-events]
  478     2 [cfg80211]
  479     2 [kworker/7:5-events]
  482     1 init
  483     1 ueventd
  484     2 [irq/573-wpc-irq]
  498     1 servicemanager
  499     1 watchdogd
  500     1 recovery
  501     1 android.hardware.health-service.samsung-recovery
  506   500 recovery
  507     2 [kworker/7:6-events]
  508     2 [kworker/7:7-events]
  509     2 [kworker/7:8-pm]
  537     1 adbd
  543     2 [irq/244-dwc3]
  548     2 [kworker/2:2-pm]
  584   537 ps
